name,X,Y,Z,rotation_x,rotation_y,rotation_z,parent
Empty,0.04804045334458351,0.7297096252441406,7.650127410888672,0.0,0.0,0.0,
Empty.001,-0.1429997682571411,0.037858977913856506,19.66524887084961,0.0,0.0,0.0,
Empty.002,-0.025436516851186752,0.037858977913856506,27.130985260009766,0.0,0.0,0.0,
Empty.003,-0.025436516851186752,0.037858977913856506,29.20303726196289,0.0,0.0,0.0,
Empty.004,0.0032584108412265778,-0.0031337589025497437,31.67596435546875,0.0,0.0,0.0,
base,0.0,0.0,0.0,0.0,0.0,0.0,
base-yaw-cylinder,-0.9194068312644958,0.7297096252441406,0.595062255859375,0.0,0.0,0.0,base
base-1-1,5.368376672267914,-19.921743392944336,-13.193246841430664,0.0,0.0,0.0,base-yaw-cylinder
base-2-1,5.368376672267914,-19.921743392944336,-13.193246841430664,0.0,0.0,0.0,base-yaw-cylinder
base-2-2,5.368376672267914,-19.921743392944336,-13.193246841430664,0.0,0.0,0.0,base-yaw-cylinder
base-3-1,5.368376672267914,-19.921743392944336,-13.193246841430664,0.0,0.0,0.0,base-yaw-cylinder
base-3-2,5.368376672267914,-19.921743392944336,-13.193246841430664,0.0,0.0,0.0,base-yaw-cylinder
link-link1-1,4.815983235836029,-19.921741485595703,-10.522677421569824,0.0,0.0,0.0,base-yaw-cylinder
link-mover-1-1,4.815983235836029,-19.921741485595703,-10.522677421569824,0.0,0.0,0.0,base-yaw-cylinder
link1-1-1,1.7283129692077637,-19.64262580871582,-12.55376148223877,0.0,0.0,0.0,base-yaw-cylinder
link2-1-1,-0.1910400390625,1.9073486328125e-06,12.015121459960938,0.0,0.0,0.0,link1-1-1
link2-1,0.11756312847137451,-0.6918506622314453,9.53779125213623,0.0,0.0,0.0,link2-1-1
link-stoppter-1-1,9.27649837732315,0.4127349853515625,-4.827965259552002,0.0,0.0,0.0,link2-1
link3-1-1,0.0,0.0,0.0,0.0,0.0,0.0,link2-1
hand-link-1-1,0.02869492769241333,-0.04099273681640625,2.4729270935058594,0.0,0.0,0.0,link3-1-1
hand-link-2-1,0.02869492769241333,-0.04099273681640625,2.4729270935058594,0.0,0.0,0.0,link3-1-1
motor-asm-1 motor-main-1,3.0876700282096863,-0.2791175842285156,2.0310840606689453,0.0,0.0,0.0,link1-1-1
motor-asm-1 motor-mount1-1,3.0876700282096863,-0.2791175842285156,2.0310840606689453,0.0,0.0,0.0,link1-1-1
motor-main-1,4.815983235836029,-19.921741485595703,-10.522677421569824,0.0,0.0,0.0,base-yaw-cylinder
motor-mount1-1,4.815983235836029,-19.921741485595703,-10.522677421569824,0.0,0.0,0.0,base-yaw-cylinder
shoulder-gear-cover-1,5.368376672267914,-19.921743392944336,-13.193246841430664,0.0,0.0,0.0,base-yaw-cylinder
